 MASS (IN MSUN)= 15.000
 X=  .740 Y=  .240
 L=   100.
 GUESSED PERIOD=  2.000000E+03 SEC
 NTRY=  1 EIG=  9.8696044E-06 DEIG=  3.34495E-07
 NTRY=  2 EIG=  1.0204099E-05 DEIG=  6.08876E-08
 NTRY=  3 EIG=  1.0264987E-05 DEIG=  1.73188E-09
 NTRY=  4 EIG=  1.0266719E-05 DEIG= -8.18748E-12
 FINAL VALUES: PERIOD=   1.960940E+03 EIG=  1.026671071E-05
  1 NODES IN Y1     1 NODES IN Y2 
     PHASE DIAGRAM MODE  -1
                   2(N, R/R* ,  Y1  ,  Y2)
   2   .035364 -8.2292E-01 -5.5299E-02   3   .044942 -8.3191E-01 -5.5640E-02
   4   .051833 -8.3471E-01 -5.6143E-02   5   .057461 -8.3731E-01 -5.6577E-02
   6   .062335 -8.3977E-01 -5.6977E-02   7   .066704 -8.4215E-01 -5.7359E-02
   8   .070710 -8.4448E-01 -5.7729E-02   9   .074442 -8.4678E-01 -5.8093E-02
  10   .077961 -8.4906E-01 -5.8453E-02  11   .081310 -8.5134E-01 -5.8812E-02
  12   .084520 -8.5361E-01 -5.9171E-02  13   .087615 -8.5589E-01 -5.9532E-02
  14   .090616 -8.5818E-01 -5.9895E-02  15   .093536 -8.6049E-01 -6.0262E-02
  16   .096388 -8.6282E-01 -6.0632E-02  17   .099182 -8.6518E-01 -6.1008E-02
  18   .101928 -8.6757E-01 -6.1390E-02  19   .104632 -8.6999E-01 -6.1778E-02
  20   .107301 -8.7244E-01 -6.2173E-02  21   .109939 -8.7494E-01 -6.2575E-02
  22   .112552 -8.7748E-01 -6.2985E-02  23   .115145 -8.8006E-01 -6.3403E-02
  24   .117720 -8.8268E-01 -6.3831E-02  25   .120281 -8.8536E-01 -6.4268E-02
  26   .122831 -8.8809E-01 -6.4715E-02  27   .125373 -8.9088E-01 -6.5173E-02
  28   .127909 -8.9372E-01 -6.5642E-02  29   .130441 -8.9663E-01 -6.6123E-02
  30   .132973 -8.9959E-01 -6.6616E-02  31   .135505 -9.0263E-01 -6.7122E-02
  32   .138039 -9.0573E-01 -6.7641E-02  33   .140577 -9.0890E-01 -6.8174E-02
  34   .143121 -9.1215E-01 -6.8723E-02  35   .145672 -9.1547E-01 -6.9286E-02
  36   .148232 -9.1888E-01 -6.9865E-02  37   .150801 -9.2237E-01 -7.0462E-02
  38   .153382 -9.2595E-01 -7.1076E-02  39   .155975 -9.2961E-01 -7.1708E-02
  40   .158582 -9.3337E-01 -7.2359E-02  41   .161203 -9.3723E-01 -7.3030E-02
  42   .163840 -9.4119E-01 -7.3722E-02  43   .166494 -9.4525E-01 -7.4436E-02
  44   .169166 -9.4942E-01 -7.5172E-02  45   .171857 -9.5370E-01 -7.5932E-02
  46   .174567 -9.5810E-01 -7.6717E-02  47   .177298 -9.6262E-01 -7.7528E-02
  48   .180051 -9.6726E-01 -7.8365E-02  49   .182827 -9.7203E-01 -7.9231E-02
  50   .185625 -9.7694E-01 -8.0127E-02  51   .188449 -9.8199E-01 -8.1053E-02
  52   .191297 -9.8719E-01 -8.2011E-02  53   .194172 -9.9253E-01 -8.3004E-02
  54   .197073 -9.9803E-01 -8.4031E-02  55   .200002 -1.0037E+00 -8.5096E-02
  56   .202959 -1.0095E+00 -8.6199E-02  57   .205946 -1.0155E+00 -8.7343E-02
  58   .208963 -1.0217E+00 -8.8530E-02  59   .212011 -1.0281E+00 -8.9761E-02
  60   .215091 -1.0347E+00 -9.1039E-02  61   .218203 -1.0414E+00 -9.2366E-02
  62   .221348 -1.0484E+00 -9.3744E-02  63   .224528 -1.0556E+00 -9.5177E-02
  64   .227742 -1.0631E+00 -9.6667E-02  65   .230992 -1.0707E+00 -9.8215E-02
  66   .234278 -1.0786E+00 -9.9828E-02  67   .237602 -1.0868E+00 -1.0151E-01
  68   .240963 -1.0953E+00 -1.0325E-01  69   .244363 -1.1040E+00 -1.0507E-01
  70   .247803 -1.1130E+00 -1.0697E-01  71   .251282 -1.1223E+00 -1.0895E-01
  72   .254803 -1.1319E+00 -1.1101E-01  73   .258366 -1.1419E+00 -1.1317E-01
  74   .261971 -1.1521E+00 -1.1542E-01  75   .265619 -1.1628E+00 -1.1777E-01
  76   .269311 -1.1738E+00 -1.2023E-01  77   .273048 -1.1852E+00 -1.2280E-01
  78   .276830 -1.1970E+00 -1.2549E-01  79   .280659 -1.2092E+00 -1.2830E-01
  80   .284534 -1.2219E+00 -1.3125E-01  81   .288457 -1.2351E+00 -1.3435E-01
  82   .292429 -1.2485E+00 -1.3754E-01  83   .296450 -1.2618E+00 -1.4076E-01
  84   .300522 -1.2744E+00 -1.4400E-01  85   .304648 -1.2863E+00 -1.4727E-01
  86   .308828 -1.2976E+00 -1.5059E-01  87   .313064 -1.3082E+00 -1.5394E-01
  88   .317359 -1.3182E+00 -1.5735E-01  89   .321714 -1.3275E+00 -1.6080E-01
  90   .326130 -1.3362E+00 -1.6431E-01  91   .330611 -1.3443E+00 -1.6789E-01
  92   .335157 -1.3517E+00 -1.7154E-01  93   .339770 -1.3586E+00 -1.7527E-01
  94   .344454 -1.3649E+00 -1.7908E-01  95   .349208 -1.3707E+00 -1.8300E-01
  96   .354037 -1.3759E+00 -1.8702E-01  97   .358941 -1.3807E+00 -1.9117E-01
  98   .363924 -1.3851E+00 -1.9545E-01  99   .368986 -1.3891E+00 -1.9987E-01
 100   .374131 -1.3927E+00 -2.0446E-01 101   .379360 -1.3960E+00 -2.0922E-01
 102   .384676 -1.3990E+00 -2.1419E-01 103   .390081 -1.4018E+00 -2.1937E-01
 104   .395578 -1.4045E+00 -2.2478E-01 105   .401168 -1.4070E+00 -2.3046E-01
