MASS (IN MSUN)=  1.000
 X=  .740 Y=  .240
 L=  1000.
 GUESSED PERIOD=  1.000000E+02 SEC
 NTRY=  1 EIG=  3.9478418E-03 DEIG=  3.05150E-06
 NTRY=  2 EIG=  3.9508933E-03 DEIG= -2.16696E-08
 FINAL VALUES: PERIOD=   9.996165E+01 EIG=  3.950871589E-03
  9 NODES IN Y1     8 NODES IN Y2 
     PHASE DIAGRAM MODE  -7
                   2(N, R/R* ,  Y1  ,  Y2)
   2   .027549 -1.9558E+14 -3.3662E+13   3   .035025 -1.9761E+14 -3.3832E+13
   4   .040407 -1.9798E+14 -3.4118E+13   5   .044804 -1.9831E+14 -3.4357E+13
   6   .048615 -1.9861E+14 -3.4575E+13   7   .052033 -1.9889E+14 -3.4780E+13
   8   .055169 -1.9916E+14 -3.4978E+13   9   .058092 -1.9942E+14 -3.5170E+13
  10   .060850 -1.9968E+14 -3.5360E+13  11   .063476 -1.9992E+14 -3.5548E+13
  12   .065994 -2.0016E+14 -3.5735E+13  13   .068425 -2.0040E+14 -3.5923E+13
  14   .070782 -2.0063E+14 -3.6110E+13  15   .073078 -2.0086E+14 -3.6299E+13
  16   .075322 -2.0109E+14 -3.6490E+13  17   .077523 -2.0131E+14 -3.6682E+13
  18   .079686 -2.0153E+14 -3.6876E+13  19   .081818 -2.0176E+14 -3.7073E+13
  20   .083924 -2.0198E+14 -3.7273E+13  21   .086008 -2.0220E+14 -3.7475E+13
  22   .088073 -2.0242E+14 -3.7681E+13  23   .090124 -2.0264E+14 -3.7891E+13
  24   .092162 -2.0285E+14 -3.8105E+13  25   .094192 -2.0307E+14 -3.8322E+13
  26   .096214 -2.0329E+14 -3.8544E+13  27   .098232 -2.0351E+14 -3.8770E+13
  28   .100248 -2.0372E+14 -3.9002E+13  29   .102262 -2.0394E+14 -3.9238E+13
  30   .104278 -2.0416E+14 -3.9479E+13  31   .106296 -2.0437E+14 -3.9726E+13
  32   .108318 -2.0459E+14 -3.9979E+13  33   .110346 -2.0481E+14 -4.0238E+13
  34   .112381 -2.0502E+14 -4.0503E+13  35   .114424 -2.0524E+14 -4.0775E+13
  36   .116477 -2.0546E+14 -4.1054E+13  37   .118540 -2.0567E+14 -4.1340E+13
  38   .120615 -2.0589E+14 -4.1633E+13  39   .122703 -2.0611E+14 -4.1934E+13
  40   .124805 -2.0633E+14 -4.2244E+13  41   .126921 -2.0654E+14 -4.2562E+13
  42   .129054 -2.0676E+14 -4.2889E+13  43   .131205 -2.0698E+14 -4.3226E+13
  44   .133373 -2.0720E+14 -4.3572E+13  45   .135560 -2.0741E+14 -4.3928E+13
  46   .137768 -2.0763E+14 -4.4295E+13  47   .139996 -2.0785E+14 -4.4673E+13
  48   .142247 -2.0807E+14 -4.5063E+13  49   .144520 -2.0829E+14 -4.5465E+13
  50   .146818 -2.0851E+14 -4.5879E+13  51   .149141 -2.0873E+14 -4.6307E+13
  52   .151489 -2.0895E+14 -4.6749E+13  53   .153865 -2.0917E+14 -4.7205E+13
  54   .156269 -2.0940E+14 -4.7677E+13  55   .158702 -2.0962E+14 -4.8164E+13
  56   .161165 -2.0985E+14 -4.8669E+13  57   .163659 -2.1007E+14 -4.9191E+13
  58   .166185 -2.1030E+14 -4.9732E+13  59   .168745 -2.1053E+14 -5.0292E+13
  60   .171339 -2.1076E+14 -5.0873E+13  61   .173981 -2.1098E+14 -5.1481E+13
  62   .176649 -2.1121E+14 -5.2105E+13  63   .179354 -2.1145E+14 -5.2753E+13
  64   .182099 -2.1169E+14 -5.3426E+13  65   .184885 -2.1193E+14 -5.4125E+13
  66   .187712 -2.1218E+14 -5.4853E+13  67   .190583 -2.1243E+14 -5.5610E+13
  68   .193499 -2.1269E+14 -5.6399E+13  69   .196460 -2.1295E+14 -5.7220E+13
  70   .199470 -2.1322E+14 -5.8077E+13  71   .202528 -2.1351E+14 -5.8971E+13
  72   .205638 -2.1379E+14 -5.9904E+13  73   .208800 -2.1409E+14 -6.0879E+13
  74   .212016 -2.1441E+14 -6.1899E+13  75   .215288 -2.1473E+14 -6.2965E+13
  76   .218617 -2.1506E+14 -6.4082E+13  77   .222006 -2.1542E+14 -6.5252E+13
  78   .225457 -2.1578E+14 -6.6479E+13  79   .228972 -2.1617E+14 -6.7767E+13
  80   .232552 -2.1657E+14 -6.9119E+13  81   .236200 -2.1700E+14 -7.0540E+13
  82   .239918 -2.1744E+14 -7.2035E+13  83   .243709 -2.1792E+14 -7.3608E+13
  84   .247575 -2.1841E+14 -7.5265E+13  85   .251518 -2.1894E+14 -7.7011E+13
  86   .255541 -2.1949E+14 -7.8854E+13  87   .259647 -2.2008E+14 -8.0799E+13
  88   .263839 -2.2069E+14 -8.2854E+13  89   .268119 -2.2134E+14 -8.5027E+13
  90   .272491 -2.2203E+14 -8.7326E+13  91   .276958 -2.2276E+14 -8.9760E+13
  92   .281522 -2.2352E+14 -9.2339E+13  93   .286188 -2.2433E+14 -9.5074E+13
  94   .290959 -2.2518E+14 -9.7974E+13  95   .295838 -2.2607E+14 -1.0105E+14
  96   .300830 -2.2700E+14 -1.0432E+14  97   .305937 -2.2797E+14 -1.0780E+14
