MASS (IN MSUN)=  1.000
 X=  .740 Y=  .240
 L=     5.
 GUESSED PERIOD=  2.000000E+04 SEC
 NTRY=  1 EIG=  9.8696044E-08 DEIG=  5.33290E-09
 NTRY=  2 EIG=  1.0402895E-07 DEIG= -4.08443E-09
 NTRY=  3 EIG=  9.9944519E-08 DEIG=  1.73673E-09
 NTRY=  4 EIG=  1.0168125E-07 DEIG= -2.27038E-10
 NTRY=  5 EIG=  1.0145421E-07 DEIG=  5.62061E-13
 FINAL VALUES: PERIOD=   1.972621E+04 EIG=  1.014547695E-07
 24 NODES IN Y1    24 NODES IN Y2 
     PHASE DIAGRAM MODE  24
                   2(N, R/R* ,  Y1  ,  Y2)
   2   .027549  1.8598E+07  1.6439E+04   3   .035025  1.5286E+07  9.8120E+03
   4   .040407  1.1397E+07  5.6233E+03   5   .044804  8.2790E+06  2.7758E+03
   6   .048615  5.8558E+06  8.8231E+02   7   .052033  3.9994E+06 -3.1788E+02
   8   .055169  2.5979E+06 -1.0138E+03   9   .058092  1.5598E+06 -1.3474E+03
  10   .060850  8.1090E+05 -1.4270E+03  11   .063476  2.9029E+05 -1.3367E+03
  12   .065994 -5.2414E+04 -1.1414E+03  13   .068425 -2.5883E+05 -8.9107E+02
  14   .070782 -3.6337E+05 -6.2331E+02  15   .073078 -3.9438E+05 -3.6557E+02
  16   .075322 -3.7499E+05 -1.3674E+02  17   .077523 -3.2384E+05  5.1294E+01
  18   .079686 -2.5559E+05  1.9257E+02  19   .081818 -1.8149E+05  2.8587E+02
  20   .083924 -1.0978E+05  3.3369E+02  21   .086008 -4.6154E+04  3.4131E+02
  22   .088073  5.8635E+03  3.1595E+02  23   .090124  4.4600E+04  2.6595E+02
  24   .092162  6.9826E+04  2.0003E+02  25   .094192  8.2431E+04  1.2666E+02
  26   .096214  8.4120E+04  5.3570E+01  27   .098232  7.7117E+04 -1.2754E+01
  28   .100248  6.3905E+04 -6.7299E+01  29   .102262  4.6989E+04 -1.0678E+02
  30   .104278  2.8713E+04 -1.2964E+02  31   .106296  1.1104E+04 -1.3596E+02
  32   .108318 -4.2311E+03 -1.2733E+02  33   .110346 -1.6176E+04 -1.0654E+02
  34   .112381 -2.4119E+04 -7.7201E+01  35   .114424 -2.7928E+04 -4.3405E+01
  36   .116477 -2.7902E+04 -9.2653E+00  37   .118540 -2.4681E+04  2.1501E+01
  38   .120615 -1.9139E+04  4.5851E+01  39   .122703 -1.2276E+04  6.1705E+01
  40   .124805 -5.0887E+03  6.8128E+01  41   .126921  1.5166E+03  6.5318E+01
  42   .129054  6.8278E+03  5.4546E+01  43   .131205  1.0374E+04  3.7942E+01
  44   .133373  1.1957E+04  1.8206E+01  45   .135560  1.1652E+04 -1.7710E+00
  46   .137768  9.7642E+03 -1.9252E+01  47   .139996  6.7725E+03 -3.2031E+01
  48   .142247  3.2507E+03 -3.8689E+01  49   .144520 -2.1770E+02 -3.8773E+01
  50   .146818 -3.1217E+03 -3.2825E+01  51   .149141 -5.0902E+03 -2.2265E+01
  52   .151489 -5.9329E+03 -9.1568E+00  53   .153865 -5.6577E+03  4.1416E+00
  54   .156269 -4.4513E+03  1.5375E+01  55   .158702 -2.6367E+03  2.2746E+01
  56   .161165 -6.0812E+02  2.5231E+01  57   .163659  1.2403E+03  2.2736E+01
  58   .166185  2.5868E+03  1.6098E+01  59   .168745  3.2335E+03  6.9081E+00
  60   .171339  3.1366E+03 -2.8082E+00  61   .173981  2.4001E+03 -1.1061E+01
  62   .176649  1.2544E+03 -1.6148E+01  63   .179354 -8.0676E+00 -1.7170E+01
  64   .182099 -1.0945E+03 -1.4173E+01  65   .184885 -1.7781E+03 -8.1175E+00
  66   .187712 -1.9445E+03 -6.4694E-01  67   .190583 -1.6122E+03  6.3188E+00
  68   .193499 -9.1946E+02  1.1056E+01  69   .196460 -8.2228E+01  1.2483E+01
  70   .199470  6.6495E+02  1.0429E+01  71   .202528  1.1321E+03  5.6707E+00
  72   .205638  1.2215E+03 -2.8738E-01  73   .208800  9.4930E+02 -5.6579E+00
  74   .212016  4.3388E+02 -8.8881E+00  75   .215288 -1.4500E+02 -9.1285E+00
  76   .218617 -6.0410E+02 -6.4848E+00  77   .222006 -8.1299E+02 -1.9722E+00
  78   .225457 -7.3180E+02  2.8233E+00  79   .228972 -4.1839E+02  6.2799E+00
  80   .232552 -2.9907E+00  7.2915E+00  81   .236200  3.6084E+02  5.6472E+00
  82   .239918  5.5076E+02  2.0929E+00  83   .243709  5.1730E+02 -1.9571E+00
  84   .247575  2.9664E+02 -4.9559E+00  85   .251518 -8.5698E+00 -5.8176E+00
  86   .255541 -2.7264E+02 -4.3294E+00  87   .259647 -3.9706E+02 -1.2200E+00
  88   .263839 -3.4741E+02  2.1546E+00  89   .268119 -1.6241E+02  4.3851E+00
  90   .272491  6.7315E+01  4.5992E+00  91   .276958  2.4082E+02  2.8219E+00
  92   .281522  2.9041E+02 -5.9771E-02  93   .286188  2.0802E+02 -2.7095E+00
  94   .290959  4.3947E+01 -3.9552E+00  95   .295838 -1.2017E+02 -3.3127E+00
  96   .300830 -2.1057E+02 -1.1864E+00  97   .305937 -1.9414E+02  1.3487E+00
  98   .311165 -9.0061E+01  3.0772E+00  99   .316517  4.3783E+01  3.2253E+00
 100   .321997  1.4148E+02  1.8137E+00 101   .327610  1.6087E+02 -3.8467E-01
 102   .333360  1.0136E+02 -2.2553E+00 103   .339253  1.0547E-01 -2.9025E+00
 104   .345292 -8.9639E+01 -2.0793E+00 105   .351482 -1.2589E+02 -2.7801E-01
 106   .357830 -9.7103E+01  1.5534E+00 107   .364339 -2.4500E+01  2.5058E+00
 108   .371014  5.1864E+01  2.1589E+00 109   .377863  9.4634E+01  7.6052E-01
 110   .384888  8.6989E+01 -9.3696E-01 111   .392097  3.8340E+01 -2.0802E+00
 112   .399494 -2.3352E+01 -2.1412E+00 113   .407085 -6.7243E+01 -1.1534E+00
 114   .414876 -7.4652E+01  3.4396E-01 115   .422873 -4.6329E+01  1.6029E+00
 116   .431080  4.4480E-01  2.0391E+00 117   .439503  4.2086E+01  1.4952E+00
 118   .448147  6.0344E+01  2.8003E-01 119   .457019  4.9811E+01 -1.0118E+00
 120   .466122  1.8503E+01 -1.7938E+00 121   .475463 -1.7595E+01 -1.7482E+00
 122   .485044 -4.2605E+01 -9.4147E-01 123   .494872 -4.7438E+01  2.3961E-01
 124   .504949 -3.2525E+01  1.2809E+00 125   .515279 -6.1530E+00  1.7647E+00
 126   .525866  2.0066E+01  1.5282E+00 127   .536711  3.6225E+01  7.0180E-01
 128   .547817  3.7572E+01 -3.7104E-01 129   .559184  2.5393E+01 -1.2833E+00
 130   .570812  5.5277E+00 -1.7178E+00 131   .582701 -1.4430E+01 -1.5482E+00
 132   .594850 -2.7984E+01 -8.6046E-01 133   .607254 -3.1640E+01  9.9192E-02
 134   .619910 -2.5464E+01  1.0200E+00 135   .632811 -1.2408E+01  1.6283E+00
 136   .645951  3.0778E+00  1.7631E+00 137   .659320  1.6570E+01  1.4074E+00
 138   .672906  2.4855E+01  6.7535E-01 139   .686695  2.6521E+01 -2.3351E-01
 140   .700671  2.1955E+01 -1.0943E+00 141   .714814  1.2891E+01 -1.7133E+00
 142   .729098  1.7392E+00 -1.9686E+00 143   .743495 -9.0867E+00 -1.8276E+00
 144   .757968 -1.7686E+01 -1.3434E+00 145   .772470 -2.2966E+01 -6.3497E-01
 146   .786943 -2.4703E+01  1.4195E-01 147   .801303 -2.3436E+01  8.2367E-01
 148   .815427 -2.0274E+01  1.2473E+00 149   .829108 -1.6696E+01  1.3024E+00
 150   .842154 -1.3719E+01  1.2137E+00 151   .854548 -1.1324E+01  1.1529E+00
 152   .866295 -9.3715E+00  1.0982E+00 153   .877399 -7.7701E+00  1.0521E+00
 154   .887867 -6.4475E+00  1.0126E+00 155   .897706 -5.3486E+00  9.7861E-01
 156   .906926 -4.4302E+00  9.4938E-01 157   .915541 -3.6589E+00  9.2415E-01
 158   .923563 -3.0081E+00  9.0234E-01 159   .931009 -2.4567E+00  8.8346E-01
 160   .937896 -1.9878E+00  8.6708E-01 161   .944243 -1.5880E+00  8.5286E-01
 162   .950072 -1.2462E+00  8.4051E-01 163   .955404 -9.5366E-01  8.2977E-01
 164   .960265 -7.0307E-01  8.2043E-01 165   .964680 -4.8865E-01  8.1229E-01
 166   .968680 -3.0571E-01  8.0520E-01 167   .972294 -1.5022E-01  7.9901E-01
 168   .975556 -1.8338E-02  7.9358E-01 169   .978497  9.4128E-02  7.8883E-01
 170   .981141  1.9150E-01  7.8465E-01 171   .983505  2.7731E-01  7.8099E-01
 172   .985603  3.5297E-01  7.7780E-01 173   .987450  4.1802E-01  7.7502E-01
 174   .989075  4.7212E-01  7.7260E-01 175   .990506  5.1613E-01  7.7048E-01
 176   .991776  5.5186E-01  7.6858E-01 177   .992907  5.8129E-01  7.6685E-01
 178   .993921  6.0601E-01  7.6524E-01 179   .994830  6.2703E-01  7.6370E-01
 180   .995648  6.4511E-01  7.6218E-01 181   .996385  6.6100E-01  7.6058E-01
 182   .997050  6.7558E-01  7.5883E-01 183   .997650  6.8994E-01  7.5683E-01
 184   .998187  7.0567E-01  7.5456E-01 185   .998663  7.2525E-01  7.5223E-01
 186   .999007  7.4697E-01  7.5090E-01 187   .999259  7.7123E-01  7.5111E-01
 188   .999444  7.9754E-01  7.5307E-01 189   .999581  8.2486E-01  7.5662E-01
 190   .999684  8.5181E-01  7.6139E-01 191   .999761  8.7689E-01  7.6703E-01
 192   .999819  8.9891E-01  7.7314E-01 193   .999863  9.1766E-01  7.7914E-01
 194   .999896  9.3375E-01  7.8288E-01 195   .999923  9.4797E-01  7.8293E-01
 196   .999945  9.6077E-01  7.8066E-01 197   .999962  9.7230E-01  7.7758E-01
 198   .999977  9.8263E-01  7.7423E-01 199   .999990  9.9184E-01  7.7089E-01
 200  1.000000  1.0000E+00  7.6770E-01
